id,group,label,links
"Breetz,Hanna Lori",GIOS,"Breetz,Hanna Lori",1
"Bremner,Andrew",CLAS,"Bremner,Andrew",1
"Bretschneider,Stuart Ira",PUBSRV,"Bretschneider,Stuart Ira",3
"Brett,Joan F",WPC,"Brett,Joan F",1
"Brewer Jr,Gene",CLAS,"Brewer Jr,Gene",5
"Brian,Jennifer Elizabeth Dyck",BARRETT,"Brian,Jennifer Elizabeth Dyck",2
"Briggs Jr,Ronald",EOSS,"Briggs Jr,Ronald",1
"Brin,Adam Miles",CLAS,"Brin,Adam Miles",2
"Brinkman,Daniel",CLAS,"Brinkman,Daniel",2
"Broatch,Jennifer Ellen",ARTS,"Broatch,Jennifer Ellen",3
"Broglio,Ronald",CLAS,"Broglio,Ronald",2
"Brokaw,David Paul",CLAS,"Brokaw,David Paul",2
"Brotman,Sarah Marie",CLAS,"Brotman,Sarah Marie",0
"Brown,Albert Frederick",IAFSE,"Brown,Albert Frederick",1
"Brown,Claudia G",HIDA,"Brown,Claudia G",1
"Brown,Mary Ellen",PUBSRV,"Brown,Mary Ellen",2
"Brownell,Sara",CLAS,"Brownell,Sara",1
"Bruening,Meredith Margaret",CHS,"Bruening,Meredith Margaret",6
"Brundiers,Katja",GIOS,"Brundiers,Katja",1
"Bruner,Jason",CLAS,"Bruner,Jason",1
"Brunhaver II,John Steven",IAFSE,"Brunhaver II,John Steven",1
"Brunhaver,Samantha Ruth",IAFSE,"Brunhaver,Samantha Ruth",3
"Brus,Evan James",CLAS,"Brus,Evan James",0
"Buch,Rajesh",GIOS,"Buch,Rajesh",2
"Budruk,Megha S",PUBSRV,"Budruk,Megha S",2
"Buetow,Kenneth H",CLAS,"Buetow,Kenneth H",2
"Buikstra,Jane Ellen",CLAS,"Buikstra,Jane Ellen",2
"Buman,Matthew P",CHS,"Buman,Matthew P",11
"Buneo,Christopher Alan",IAFSE,"Buneo,Christopher Alan",3
"Burton,Matthew M.",CHS,"Burton,Matthew M.",1
"Buseck,P R",CLAS,"Buseck,P R",2
"Butler,Nathaniel Richard",CLAS,"Butler,Nathaniel Richard",2
"Buttry,Daniel A.",CLAS,"Buttry,Daniel A.",3
"Buzinde,Christine",PUBSRV,"Buzinde,Christine",2
"Byck,Peter",WCJMC,"Byck,Peter",2
"Caccamo,Antonella",BDI,"Caccamo,Antonella",2
"Cacciatore,Joanne",PUBSRV,"Cacciatore,Joanne",1
"Cadenas,German Andres",OKED,"Cadenas,German Andres",1
"Cadillo-Quiroz,Hinsby",CLAS,"Cadillo-Quiroz,Hinsby",2
"Cady,Linell E",CLAS,"Cady,Linell E",1
"Cahill,Thomas Michael",ARTS,"Cahill,Thomas Michael",1
"Calhoun,Ronald Joseph",IAFSE,"Calhoun,Ronald Joseph",3
"Callahan,Christopher",WCJMC,"Callahan,Christopher",1
"Camacho,Erika T",ARTS,"Camacho,Erika T",2
"Candan,Kasim Selcuk",IAFSE,"Candan,Kasim Selcuk",7
"Cantwell,Elizabeth Raye",OKED,"Cantwell,Elizabeth Raye",1
"Cao,Yu",IAFSE,"Cao,Yu",2
"Capco,David George",CLAS,"Capco,David George",1
"Caplan,Michael Ryckman",IAFSE,"Caplan,Michael Ryckman",3
"Carberry,Adam Robert",IAFSE,"Carberry,Adam Robert",2
"Carney,Michelle Mohr",PUBSRV,"Carney,Michelle Mohr",1
"Carpenter,Ray W",CLAS,"Carpenter,Ray W",1
"Cartwright,Julia Ann",CLAS,"Cartwright,Julia Ann",1
"Cartwright,Reed Austin",CLAS,"Cartwright,Reed Austin",1
"Casas Arce,Pablo",WPC,"Casas Arce,Pablo",1
"Castillo-Chavez,Carlos",CLAS,"Castillo-Chavez,Carlos",5
"Castro,Felipe G",CONHI,"Castro,Felipe G",4
"Cavalier,Darlene Faith",SFIS,"Cavalier,Darlene Faith",3
"Cease,Arianne",GIOS,"Cease,Arianne",1
"Cerveny,Randall Scott",CLAS,"Cerveny,Randall Scott",1
"Cesarotti,Evelyn L",CONHI,"Cesarotti,Evelyn L",1
"Chae,Junseok",IAFSE,"Chae,Junseok",4
"Chakrabarti,Chaitali",IAFSE,"Chakrabarti,Chaitali",4
"Chakraborti,Tathagata",IAFSE,"Chakraborti,Tathagata",0
"Chakraborty,Shayok",IAFSE,"Chakraborty,Shayok",2
"Chamberlain,Alyssa Anne Whitby",PUBSRV,"Chamberlain,Alyssa Anne Whitby",3
"Chamberlin,Ralph Vary",CLAS,"Chamberlin,Ralph Vary",1
"Chan,Candace Kay",IAFSE,"Chan,Candace Kay",1
"Chan,Neng Iong",CLAS,"Chan,Neng Iong",0
"Chang,Lan-Yun",CLAS,"Chang,Lan-Yun",1
"Chang,Yung",CLAS,"Chang,Yung",3
"Chasey,Allan Dee",IAFSE,"Chasey,Allan Dee",1
"Chassin,Laurie",CLAS,"Chassin,Laurie",4
"Chattopadhyay,Aditi",IAFSE,"Chattopadhyay,Aditi",2
"Chavez,Ivette D",UCOLLEGE,"Chavez,Ivette D",1
"Chawla,Nikhilesh",IAFSE,"Chawla,Nikhilesh",3
"Chen,Angela Chia-Chen",CONHI,"Chen,Angela Chia-Chen",1
"Chen,Fang",BDI,"Chen,Fang",1
"Chen,Huaiyu",CLAS,"Chen,Huaiyu",1
"Chen,Julian J-L",CLAS,"Chen,Julian J-L",2
"Chen,Kangping",IAFSE,"Chen,Kangping",1
"Chen,Qiang",CLAS,"Chen,Qiang",1
"Chen,Shengxi",BDI,"Chen,Shengxi",1
"Chen,Tingyong",CLAS,"Chen,Tingyong",3
"Chen,Ying-Chih",MLFTC,"Chen,Ying-Chih",1
"Chen,Yinong",IAFSE,"Chen,Yinong",3
"Cheng,Chingwen",HIDA,"Cheng,Chingwen",3
"Chester,Mikhail",IAFSE,"Chester,Mikhail",9
"Chhabra,Deepak",PUBSRV,"Chhabra,Deepak",1
"Chhetri,Nalini",SFIS,"Chhetri,Nalini",3
"Chhetri,Netra B",SFIS,"Chhetri,Netra B",4
"Childers,Daniel L",GIOS,"Childers,Daniel L",1
"Chizmeshya,Andrew V",CLAS,"Chizmeshya,Andrew V",2
"Cho,Sookja",CLAS,"Cho,Sookja",1
"Choi,Ji Mi S",OKED,"Choi,Ji Mi S",1
"Chong,Oswald Wk",IAFSE,"Chong,Oswald Wk",4
"Chowdhury,Srabanti",IAFSE,"Chowdhury,Srabanti",1
"Christensen,Philip R",CLAS,"Christensen,Philip R",3
"Cisneros,Ernest",CLAS,"Cisneros,Ernest",1
"Clark,Heather Marie Griller",MLFTC,"Clark,Heather Marie Griller",2
"Clark,Jerome",IAFSE,"Clark,Jerome",1
"Clark,Lawrence T",IAFSE,"Clark,Lawrence T",3
"Clark,Patricia J",ARTS,"Clark,Patricia J",1
"Clark,Susan Spierre",IAFSE,"Clark,Susan Spierre",2
"Clarke,Amanda Bachtell",CLAS,"Clarke,Amanda Bachtell",2
"Clemens,Katherine Michelle",OKED,"Clemens,Katherine Michelle",1
"Cloutier,Scott",GIOS,"Cloutier,Scott",2
"Cochran,Douglas",IAFSE,"Cochran,Douglas",1
"Cohen,Adam",CLAS,"Cohen,Adam",2
"Colaneri,Nicholas Frederick",IAFSE,"Colaneri,Nicholas Frederick",1
"Colbourn,Charles Joseph",IAFSE,"Colbourn,Charles Joseph",1
"Coleman,Grisha",HIDA,"Coleman,Grisha",2
"Coleman,Paul David",BDI,"Coleman,Paul David",5
"Coletta,Dawn",CHS,"Coletta,Dawn",3
"Collins,James",CLAS,"Collins,James",3
